id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,primary_genres,secondary_genres,PrimarynSecondary_genres
5998,Devin The Dude,0.185713333,0.780066667,296975.0667,0.521933333,0.004021123,0.20508,-8.592333333,0.290213333,95.7338,0.6418,43.93333333,0,1,15,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
24130,The Kid LAROI,0.224828,0.7733,152746.2,0.5818,0,0.15466,-7.6524,0.15802,124.0946,0.5289,73.5,3,0,10,"['australian hip hop', 'pop rap', 'rap', 'trap', 'vapor trap']",rap,trap,rap/trap
2518,Big K.R.I.T.,0.388738571,0.595428571,254551,0.723714286,0,0.346571429,-5.226428571,0.1642,87.67457143,0.545285714,56,4,0,7,"['alternative hip hop', 'conscious hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",rap,trap,rap/trap
20190,Ride,0.000175586,0.303,317164,0.866857143,0.589285714,0.2289,-4.814142857,0.054771429,147.9334286,0.409142857,38.71428571,4,1,14,"['cali rap', 'west coast trap']",rap,trap,rap/trap
17641,NoCap,0.230333333,0.598,224812.6667,0.587333333,0,0.108333333,-7.934,0.234666667,128.11,0.354333333,60.33333333,2,0,3,"['alabama rap', 'atl trap', 'southern hip hop', 'trap']",rap,trap,rap/trap
15898,Matt Ox,0.079733333,0.775,131379.6667,0.536333333,3.80E-07,0.141,-6.146,0.063533333,122.0543333,0.487,66.66666667,1,0,3,"['melodic rap', 'underground hip hop', 'vapor trap']",rap,trap,rap/trap
3683,Cam’ron,0.032156348,0.684217391,270568.1304,0.733130435,0.000159177,0.279652174,-5.816304348,0.266626087,92.80556522,0.584043478,45.17391304,11,1,23,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
4710,Clipse,0.25745,0.697833333,245671.0833,0.772333333,6.07E-05,0.234525,-4.5045,0.263366667,124.9408333,0.633916667,48.83333333,11,1,12,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
13,$uicideBoy$,0.128122623,0.765245902,147549.4426,0.641704918,0.038454471,0.201195082,-6.626918033,0.155917213,119.8043607,0.296095902,61.64754098,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']",rap,trap,rap/trap
15139,Made in M,0.838,0.857,92250,0.146,0.954,0.109,-10.946,0.33,82.9,0.776,61,4,1,1,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",rap,trap,rap/trap
