id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,new_genres
26807,Yhung T.O.,0.302,0.811,206593,0.574,0,0.0865,-7.003,0.18,96.993,0.546,60,5,0,1,"['cali rap', 'west coast trap']",rap
9250,Grieves,0.0421,0.592,185373,0.509,0,0.0814,-6.685,0.375,180.121,0.631,44,11,1,2,"['abstract hip hop', 'indie pop rap', 'underground rap']",rap
15653,Mark Battles,0.209,0.745,185487,0.741,0,0.51,-7.212,0.184,94.002,0.48,57,2,1,2,"['canadian hip hop', 'deep underground hip hop', 'indie pop rap', 'underground hip hop']",rap
5271,DJ Jazzy Jeff,0.029,0.782,250200,0.639,0,0.197,-8.154,0.365,95.116,0.487,47,1,1,1,"['gangster rap', 'hip hop', 'old school hip hop', 'philly rap', 'rap']",rap
25090,Tion Wayne,0.000415,0.572,169355,0.519,2.34E-05,0.129,-8.054,0.243,100.453,0.704,77,10,0,2,"['london rap', 'uk hip hop']",rap
1828,Azealia Banks,0.017969044,0.755888889,219083.8889,0.701888889,5.93E-05,0.079611111,-8.013888889,0.176355556,128.1918889,0.361333333,53.44444444,10,0,9,"['art pop', 'bmore', 'dance pop', 'escape room', 'hip house', 'hip pop', 'lgbtq+ hip hop', 'pop', 'pop rap', 'trap queen']",rap
24151,The LOX,0.100678846,0.729846154,265462.6154,0.792653846,5.28E-06,0.18615,-5.415384615,0.306615385,107.8473846,0.644538462,43.61538462,4,0,26,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']",rap
19940,Remy Ma,0.114258333,0.646416667,243966,0.780166667,0,0.250025,-4.974083333,0.40925,119.6664167,0.563083333,56.58333333,1,1,12,"['bronx hip hop', 'hip pop', 'r&b', 'trap queen']",rap
21399,Sepultura,0.00572504,0.384777778,259139.2593,0.93937037,0.095639481,0.175140741,-6.149555556,0.120740741,113.2995926,0.212255556,42.51851852,11,1,54,"['alternative metal', 'brazilian metal', 'brazilian thrash metal', 'death metal', 'deathrash', 'groove metal', 'hard rock', 'latin metal', 'metal', 'nu metal', 'old school thrash', 'rap rock', 'rock', 'thrash metal']",rap
14136,Lil' Zane,0.00814,0.782,257307,0.675,0,0.0978,-5.096,0.0706,106.956,0.663,39,8,0,2,['pop rap'],rap
