id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,primary_genres,secondary_genres,PrimarynSecondary_genres
4877,Control,0.2075,0.82675,194040.25,0.804875,0.094412726,0.1203375,-6.687375,0.042875,111.629875,0.912,49.75,10,1,16,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
20470,Rodríguez,0.397314091,0.514045455,198911.4545,0.642772727,0.001571454,0.14765,-6.007090909,0.069704545,116.9493636,0.550272727,46.45454545,4,1,44,"['alabama rap', 'atl trap']",rap,trap,rap/trap
10616,J. Stalin,0.0106,0.669,281040,0.687,1.31E-06,0.13,-9.762,0.201,87.988,0.424,43,1,1,1,"['cali rap', 'hyphy', 'west coast rap', 'west coast trap']",rap,trap,rap/trap
27193,lando!,0.282,0.797,173558,0.518,0,0.0954,-12.625,0.281,139.988,0.717,55,7,1,2,"['emo rap', 'underground hip hop', 'vapor trap']",rap,trap,rap/trap
6645,E-40,0.065227907,0.804860465,260494.6512,0.647116279,2.21E-05,0.205781395,-6.808093023,0.245730233,97.3314186,0.475534884,49.30232558,1,1,43,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast rap']",rap,trap,rap/trap
3529,C-Bone,0.00757,0.874,281267,0.798,0,0.0812,-6.976,0.0503,123.733,0.332,39,11,0,1,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
15089,Mac Dre,0.11175027,0.805513514,242441.2703,0.649972973,0.000320762,0.238789189,-6.174648649,0.241583784,108.5985405,0.674135135,39.51351351,2,1,37,"['cali rap', 'gangster rap', 'hyphy', 'west coast rap', 'west coast trap']",rap,trap,rap/trap
2538,Big Sean,0.148856748,0.683203252,240459.0488,0.670739837,0.001423919,0.23474878,-5.641723577,0.208773984,120.9080325,0.450392683,58.76422764,1,1,123,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
7655,Far,0.0217,0.508,262747,0.809,0.0354,0.826,-4.378,0.066,141.984,0.783,41,8,0,2,"['latin', 'reggaeton', 'trap latino', 'tropical']",rap,trap,rap/trap
13070,Killumantii,0.0324,0.891666667,163808,0.573333333,0.000198,0.109,-8.985666667,0.338333333,144.5986667,0.335666667,60,11,0,3,['trap queen'],rap,trap,rap/trap
2858,Blu,0.2265,0.519,275460,0.706,1.34E-06,0.493,-7.7325,0.2635,140.015,0.7015,53.5,5,1,2,"['cali rap', 'trap']",rap,trap,rap/trap
413,Adventure Club,0.017245,0.5695,255962,0.6635,0.00268,0.09765,-4.82,0.04975,136.4995,0.178,53.5,9,1,2,"['brostep', 'canadian electronic', 'chillstep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'melodic dubstep', 'pop edm']",edm,trap,edm/trap
10701,Jack Harlow,0.058266667,0.853066667,147537.8667,0.5948,0.000622991,0.131326667,-6.530066667,0.164186667,143.7098667,0.592133333,71.26666667,1,1,15,"['deep underground hip hop', 'pop rap', 'rap', 'trap']",rap,trap,rap/trap
5180,D-A-D,0.00846,0.448,263773,0.763,2.21E-05,0.0607,-11.366,0.0447,145.872,0.672,43,8,1,2,"['melodic rap', 'pop rap', 'rap', 'trap']",rap,trap,rap/trap
23023,TK Kravitz,0.266,0.692333333,208584.3333,0.493333333,0,0.167333333,-10.30933333,0.489333333,101.13,0.355666667,64,0,1,3,"['deep pop r&b', 'trap']",rap,trap,rap/trap
