id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,primary_genres,secondary_genres,PrimarynSecondary_genres
19400,Quan,0.0817,0.674,263453,0.588,0,0.148,-6.428,0.303,82.025,0.219,46,7,1,2,"['melodic rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
2080,Bankroll Fresh,0.050966667,0.779666667,198307,0.675666667,0,0.135333333,-5.121666667,0.100066667,90.34266667,0.470666667,56.66666667,4,1,3,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
13415,L-Boy,0.00807,0.633,282560,0.607,0,0.257,-7.252,0.21,66.854,0.157,51,1,0,1,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
3533,C-Murder,0.03818,0.8007,275896,0.6758,0,0.21469,-6.279,0.3404,126.9647,0.6141,37.9,6,1,10,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'new orleans rap', 'southern hip hop', 'wrestling']",rap,trap,rap/trap
16761,Money Man,0.0265,0.842,160952,0.715,0.0554,0.0831,-6.03,0.0913,126.022,0.428,65,2,1,2,"['atl trap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
14076,Lil Blood,0.0106,0.669,281040,0.687,1.31E-06,0.13,-9.762,0.201,87.988,0.424,43,1,1,2,"['cali rap', 'hyphy', 'west coast trap']",rap,trap,rap/trap
16081,Meek Mill,0.129721118,0.657779412,227605.7941,0.695117647,1.44E-07,0.281547059,-5.338044118,0.256992647,121.7704265,0.384001471,58.79411765,1,1,68,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
16094,Megan Thee Stallion,0.037063842,0.823763158,179993.7105,0.691368421,1.98E-06,0.186757895,-5.656868421,0.272421053,137.5366316,0.518315789,69.34210526,11,1,38,"['houston rap', 'pop', 'pop rap', 'trap queen']",rap,trap,rap/trap
25565,Turk,0.00884,0.667,335866.6667,0.807333333,5.22E-06,0.649933333,-6.722,0.071733333,119.0483333,0.384666667,36.33333333,1,1,3,"['bass trap', 'electronic trap', 'traprun', 'turkish trap']",rap,trap,rap/trap
10613,J. Ro,0.18,0.893,219160,0.514,0,0.0596,-5.08,0.283,95.848,0.787,59,11,1,1,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",rap,trap,rap/trap
19171,Polo G,0.131391579,0.758017544,179657.8421,0.548561404,7.89E-06,0.110333333,-8.481719298,0.371736842,132.2123333,0.420964912,69.77192982,1,1,57,"['chicago rap', 'trap']",rap,trap,rap/trap
19314,Problem,0.166643077,0.723461538,220860.4615,0.574230769,0.001012523,0.183738462,-7.382230769,0.184546154,100.2493077,0.432846154,56.30769231,1,1,13,"['cali rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'west coast trap']",rap,trap,rap/trap
24078,The J.B.'s,0.375157,0.7612,303106.65,0.55875,0.119715537,0.104975,-10.62795,0.10262,113.97765,0.79125,36.7,2,1,40,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
8297,Frvrfriday,0.593,0.743,132928,0.361,0,0.0771,-11.285,0.143,126.074,0.345,61,1,0,2,"['canadian hip hop', 'trap soul']",rap,trap,rap/trap
16762,Moneybagg Yo,0.063362929,0.78575,185938,0.6985,0.000107597,0.163942857,-5.508142857,0.267142857,132.5577143,0.611821429,63.78571429,1,1,28,"['hip hop', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
3548,C. Tangana,0.0718,0.865,199994,0.498,0.00312,0.108,-8.882,0.168,97.921,0.131,72,8,0,1,['trap espanol'],rap,trap,rap/trap
25813,Valentino Khan,0.00371,0.794,190476,0.896,0.615,0.0876,-1.514,0.0677,125.999,0.5,60,5,0,2,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton']",rap,trap,rap/trap
5050,Croosh,0.413,0.889,150622,0.324,0,0.09,-7.55,0.0468,110.041,0.577,56,5,0,2,"['deep underground hip hop', 'trap soul']",rap,trap,rap/trap
6521,Dru Down,0.078118,0.8134,288434.6,0.6764,8.70E-05,0.1714,-6.6114,0.2532,110.4292,0.5482,41,2,1,10,"['g funk', 'gangster rap', 'hyphy', 'west coast rap', 'west coast trap']",rap,trap,rap/trap
25614,Tyga,0.095100575,0.808689655,203173.9885,0.63491954,0.000119049,0.150544828,-6.012287356,0.166743678,115.7937011,0.476068966,64.6091954,1,1,87,"['pop rap', 'rap', 'trap']",rap,trap,rap/trap
20852,Rylo Rodriguez,0.039433333,0.827,177946.3333,0.623666667,4.25E-06,0.109466667,-7.149333333,0.365,154.35,0.681333333,61,8,1,6,"['alabama rap', 'atl trap']",rap,trap,rap/trap
382,Adje,0.00739,0.847,137595,0.573,0.0149,0.0845,-6.032,0.253,99.919,0.332,72,0,1,2,"['dutch hip hop', 'dutch trap pop']",rap,trap,rap/trap
