id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,new_genres
16498,Miky Woodz,0.144,0.81,512093,0.631,1.32E-06,0.451,-6.541,0.0938,154.976,0.573,70,4,0,1,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",rap
16979,Mudvayne,0.001506657,0.480047619,251529.5238,0.939761905,0.053162501,0.151295238,-4.424761905,0.136071429,137.8110952,0.401,46.47619048,8,1,42,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'melodic metalcore', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",rap
117,50 Cent,0.127395868,0.69248503,233712.4551,0.761335329,0.00058395,0.191894012,-4.100712575,0.264173054,105.6604491,0.588700599,52.19760479,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",rap
13634,Larry,0.879416667,0.521833333,158913.3333,0.498166667,0.000225022,0.224083333,-4.216333333,0.078875,123.6814167,0.54,4.666666667,4,1,24,"['cali rap', 'underground hip hop', 'west coast trap']",rap
23276,Teqkoi,0.597142857,0.626285714,130764.8571,0.253571429,0.001155143,0.148257143,-15.03157143,0.231114286,111.4875714,0.208485714,67.42857143,1,1,7,"['emo rap', 'lo-fi beats']",rap
4596,City Girls,0.020990909,0.813545455,169827.9091,0.774909091,0.000108409,0.199909091,-4.055727273,0.149527273,108.9333636,0.542181818,67.54545455,2,1,11,"['pop', 'pop rap', 'trap queen']",rap
21677,Shotgun Willy,0.428,0.755,150960,0.5105,0.000146,0.139,-10.879,0.2705,118.3985,0.687,66,10,0,2,['meme rap'],rap
26535,Willie D,0.0871,0.772,276386.5,0.4365,5.20E-07,0.1693,-7.7885,0.20575,113.207,0.3825,39,1,1,2,"['dirty south rap', 'dirty texas rap', 'g funk', 'gangster rap']",rap
26167,WC,0.162942857,0.918142857,258379.2857,0.681714286,0.000372377,0.1144,-5.070285714,0.268571429,94.50714286,0.687857143,43,1,0,7,"['gangster rap', 'hip hop', 'rap', 'west coast rap']",rap
5963,Desiigner,0.067638462,0.632846154,258989.2308,0.755846154,3.71E-05,0.387169231,-4.020769231,0.240584615,132.0736154,0.329153846,66.84615385,10,0,13,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",rap
19218,Post Malone,0.319397317,0.631585366,222678.5976,0.607841463,0.015336056,0.142212195,-6.192182927,0.0846,122.0500122,0.378792683,71.09756098,5,1,82,"['dfw rap', 'melodic rap', 'rap']",rap
24764,The Underachievers,0.191,0.518,183864,0.792,0,0.123,-5.323,0.359,78.885,0.625,50,1,1,2,"['psychedelic hip hop', 'rap', 'underground hip hop']",rap
25005,Tiagz,0.1575,0.919,141690.5,0.495,0.2165,0.0934,-9.431,0.3396,111.0115,0.319,74,1,1,4,['ottawa rap'],rap
305,Above The Law,0.00183,0.699,253293,0.926,6.68E-06,0.0522,-8.925,0.0968,97.842,0.756,32,1,1,2,"['g funk', 'gangster rap', 'hyphy', 'west coast rap']",rap
25311,Too $hort,0.073097779,0.845365385,311611.3365,0.504528846,0.039608832,0.171694231,-9.873615385,0.256567308,105.4775288,0.547625,42.34615385,1,1,104,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']",rap
26865,Young Gunz,0.094045,0.7645,249353.5,0.8425,0,0.2765,-3.047,0.239,95.593,0.667,46.5,6,1,2,"['philly rap', 'southern hip hop']",rap
12237,Josh A,0.140432,0.6378,174293,0.6078,0,0.2382,-7.9622,0.11066,110.0224,0.324,64.4,4,1,5,"['emo rap', 'meme rap', 'pop rap']",rap
7759,Fenix Flexin,0.164714286,0.870857143,159910.8571,0.651571429,1.42E-05,0.116828571,-6.745571429,0.229571429,103.1288571,0.406285714,64.14285714,4,0,7,['cali rap'],rap
14103,Lil Pump,0.114459565,0.831695652,175930.8261,0.659086957,0.000423698,0.214221739,-5.790173913,0.177191304,128.5915652,0.531478261,67.86956522,10,1,23,"['emo rap', 'miami hip hop', 'rap', 'trap']",rap
