id,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,primary_genres,secondary_genres,PrimarynSecondary_genres
26854,Young Boss,0.145,0.986,229669,0.597,2.18E-06,0.197,-6.809,0.308,115.004,0.761,44,8,1,1,['vapor trap'],rap,trap,rap/trap
113,4B,0.00441,0.63,224052,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,54,1,1,1,"['brostep', 'electro house', 'electronic trap']",rap,trap,rap/trap
12857,Keith Ape,0.030928,0.734,236647,0.701,4.09E-06,0.202,-5.3055,0.1661,129.04,0.3395,61,9,1,2,"['korean trap', 'underground hip hop']",rap,trap,rap/trap
18347,Paloma Mami,0.411,0.876,159132,0.568,0.00274,0.187,-5.755,0.0533,98.027,0.593,74,0,1,2,"['latin pop', 'reggaeton chileno', 'trap chileno']",rap,trap,rap/trap
20074,Rich The Kid,0.10430375,0.810041667,194635.9167,0.640416667,0.000337563,0.192833333,-6.649041667,0.225141667,132.2942083,0.504083333,68.20833333,11,1,24,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
2534,Big Poppa,0.00679,0.805,261827,0.723,0,0.244,-6.808,0.224,88.006,0.641,40,7,1,1,['deep southern trap'],rap,trap,rap/trap
99,3X Krazy,0.0165,0.719,358467,0.686,0,0.236,-4.169,0.0829,95.19,0.49,47,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']",rap,trap,rap/trap
13370,Kurupt,0.14882,0.778,256884.5652,0.711521739,0.001862229,0.222417391,-5.553434783,0.238552174,107.9039565,0.617173913,52.69565217,1,0,23,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap', 'west coast trap']",rap,trap,rap/trap
17783,ODIE,0.611,0.7245,169650,0.4595,0.081629,0.09865,-9.681,0.1206,92.2145,0.7135,67,10,1,4,"['alternative r&b', 'indie r&b', 'trap soul']",rap,trap,rap/trap
8345,G-Unit,0.125346429,0.692785714,211886.6786,0.734428571,0,0.143782143,-3.899321429,0.302157143,103.3501071,0.692607143,51.92857143,11,0,28,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
14642,Lost Sky,0.302,0.669,194284,0.937,0.783,0.118,-4.325,0.0397,110.006,0.344,69,6,1,2,"['bass trap', 'gaming edm']",rap,trap,rap/trap
1827,AzChike,0.113,0.835,169482,0.57,4.75E-06,0.0784,-9.479,0.109,99.964,0.377,54,2,0,1,"['cali rap', 'west coast trap']",rap,trap,rap/trap
15536,Mariahlynn,0.05,0.903,156000,0.612,0.000123,0.0736,-7.789,0.319,100.013,0.672,58,7,1,2,"['hip pop', 'trap queen']",rap,trap,rap/trap
5063,Crunchy Black,0.0181,0.838,261933,0.793,1.49E-06,0.106,-5.47,0.0773,160.003,0.8,46,11,0,2,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",rap,trap,rap/trap
25562,Turbo,0.541,0.787,217728,0.518,0,0.132,-8.084,0.268,91.344,0.327,67,6,0,1,['trap'],rap,trap,rap/trap
2264,Belly,0.0413018,0.636,245346.3,0.7069,0.1401342,0.14414,-6.9774,0.10393,141.9856,0.6276,47.2,2,1,10,"['canadian hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop']",rap,trap,rap/trap
20780,Rusko,0.0032175,0.363,259735,0.933,0.405455,0.25,-4.894,0.04665,173.9575,0.0862,46.5,7,1,2,"['bassline', 'brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",rap,trap,rap/trap
20068,Rich Boy,0.0247,0.5655,266323.25,0.83325,8.65E-07,0.395525,-5.02225,0.33325,166.61225,0.4205,48.75,2,1,4,"['alabama rap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",rap,trap,rap/trap
22915,Sy Ari Da Kid,0.268,0.561,188120,0.247,7.37E-06,0.132,-12.877,0.326,125.695,0.289,61,8,0,2,"['deep pop r&b', 'trap', 'trap soul']",rap,trap,rap/trap
4755,Cold Hart,0.0545,0.589,155573,0.665,0,0.221,-7.105,0.044,74.978,0.298,66,0,1,2,"['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']",rap,trap,rap/trap
26679,X-Raided,0.020733333,0.759833333,316097.5,0.593166667,0,0.16455,-8.356166667,0.257,111.5941667,0.53,33.66666667,10,0,6,"['g funk', 'gangster rap', 'hyphy', 'west coast trap']",rap,trap,rap/trap
19993,Reo Cragun,0.288,0.628,223910,0.668,0,0.622,-5.935,0.263,138.865,0.347,65,1,0,2,"['trap soul', 'underground hip hop']",rap,trap,rap/trap
13634,Larry,0.879416667,0.521833333,158913.3333,0.498166667,0.000225022,0.224083333,-4.216333333,0.078875,123.6814167,0.54,4.666666667,4,1,24,"['cali rap', 'underground hip hop', 'west coast trap']",rap,trap,rap/trap
27200,lilbootycall,0.0959,0.7,148606,0.377,0,0.133,-15.07,0.342,130.003,0.181,61,9,1,2,['vapor trap'],rap,trap,rap/trap
8380,GAWVI,0.32,0.683,203325,0.63,0,0.222,-5.146,0.0587,159.927,0.452,60,1,1,1,"['christian hip hop', 'christian trap', 'miami hip hop', 'rap cristiano']",rap,trap,rap/trap
10085,Hot Boys,0.032803333,0.725,300715.6667,0.744333333,9.84E-06,0.540933333,-5.771,0.169333333,120.149,0.574333333,37.66666667,2,1,3,"['deep southern trap', 'dirty south rap', 'gangster rap', 'new orleans rap']",rap,trap,rap/trap
19430,Quin Nfn,0.0153,0.902,191975,0.472,0,0.0539,-6.802,0.469,140.046,0.65,59,1,1,1,"['austin hip hop', 'southern hip hop', 'vapor trap']",rap,trap,rap/trap
